nom_complet,siren,nb_sites,nb_departements,departements
OLIVES PAYSAGES ET COMPAGNIE (DOMAINE DES 9 CHENES),913725610,1,1,07
OLOBIO,849903562,1,1,07
HUILE DE L'ORANGERIE,529990392,1,1,10
COOPER OLEICOLE L OULIBO,775768666,1,1,11
SUD GRAISS,510523046,1,1,11
MOULIN A HUILE DU MAS ST JEAN,419279930,2,1,13
SOCIETE OLEICOLE DE PELISSANNE,439606963,2,1,13
BONFILHON,420301954,1,1,13
LOU MOULIN DOU FUSTIE,490938123,1,1,13
LE MOULIN A OLIVES (MOULIN D'EGUILLES),794375097,1,1,13
MOULIN A HUILE DE LA FARE DES OLIVIERS,782726442,1,1,13
COOPERATIVE OLEICOLE MOUL HUIL,782787790,1,1,13
CARD LINE CONCEPT (CARD LINE CONCEPT) (CLC),802865485,1,1,13
LE MOULIN DE LA COQUILLE,527703664,1,1,13
SARL MOULIN LES CENGLES,823339239,1,1,13
COOPERATIVE OLEICOLE DE CEYRESTE,442796892,1,1,13
SOCIETE COOPERATIVE OLEICOLE DE VELAUX,443519962,1,1,13
EMPORION MEDITERRANEE,798446084,1,1,13
MOULIN A HUILE D'OLIVES COOP DE MOURIES,782750210,1,1,13
HUILE DES FRERES,907835458,1,1,13
ROSSI - MOULIN SAINT MICHEL,737080234,1,1,13
GUILLAUME DUPIN,503213324,1,1,14
BRUNO LEPS,491271516,1,1,16
LE MOULIN DU PUITS SALE,448276527,1,1,17
OLPH'ACTIVE,489480582,1,1,17
L'OLIV'RE,889055653,1,1,17
VALMO HUILE VEGETALE 18 (V.H.V 18),492174347,2,1,18
HUILERIE D'AURON,800332371,1,1,[N
TEDDY BELGRAIN (GREENVISION NATURE),919299479,1,1,18
LE GALION,441744661,2,1,21
DESSINE-MOI UNE GRAINE,982612822,1,1,21
L CHANVRE (L CHANVRE),490293602,1,1,22
CARBIOVAL,920636446,1,1,22
CPARTERRE,883230229,1,1,23
JEAN DEMARTHON,429027238,1,1,24
NOYERAIE DU LANDER (NOYERAIE DU LANDER),917944076,1,1,24
NICOLAS POMMIER,539032110,1,1,24
LE MOULIN DE MANEYROL (LE MOULIN DE MANEYROL),793484494,1,1,24
LE MOULIN DE CHELY,881747828,1,1,24
MONSALLIER PERE ET FILS,911212843,1,1,24
DOZOL AUTRAND MOULIN A HUILE,415248194,2,1,26
VILLENEUVE,879681823,1,1,26
GERARD FARREYRE,314873167,1,1,26
MOULIN J RAMADE,429166846,1,1,26
MOULIN DE HAUTE PROVENCE,479401325,1,1,26
RENE BAYLE,399767169,1,1,26
HUILERIES DE BEAUCE (HDB),890552235,2,1,28
HUILERIE LEMONNIER,980177786,1,1,28
ANNABELLE TEYSSIER,514168012,3,1,30
MOULIN A HUILE PARADIS,443431325,2,1,30
HUILERIE EMILE NOEL SAS (EMILE NOEL),660201138,2,1,30
ETABLISSEMENT JEAN ET BELEN SOULAS,403710098,1,1,30
LE MOULIN DES MAGES,485258545,1,1,30
PASCAL MALAGA,797489820,1,1,30
LA COOP DES DEUX B,775859176,1,1,30
PATRICIA CARAVACA (BORG),527998470,1,1,30
LAURENT BARLAGUET (LA PAYANNE),917694499,1,1,30
LE MOULIN DU MONT-AIGU,879576957,1,1,30
HUILERIE DE CAMBOS,511202632,1,1,32
OCEOPIN,750093775,1,1,33
LO MOULINET,478686801,1,1,34
HUILERIE COOP INTERDE CLERMONT HERAULT,775992423,1,1,34
GOD (GOD),899013460,1,1,34
OLEO BREIZH,980521868,2,1,35
DENIS JEAUMOT,404432924,2,1,36
HUILERIE VIGEAN,341949964,1,1,36
BIO GAIA NOVATION (BIO GAIA NOVATION / SAVEURS & PAPILLONS),535311195,1,1,37
CLAUDE ROMAND,320007651,1,1,38
CLEMENT ROUX-SIBILON (LE MOULIN D'ALAN),822555884,1,1,38
HUILERIE DES COTEAUX,900148339,1,1,38
ISABELLE CAMPANELLA (DELL'ACCIO) (L'HUILE D'OLIVE HEUREUSE LA CORATINA),530267541,1,1,38
PAUL LETOURNEL (LA NOIX GOURMANDE),922191614,1,1,38
HUILERIE DE CHAMBARAND,519277610,1,1,38
LE MOULIN DE DAMIEN,878985431,1,1,38
L'ARBRE A HUILE,840220438,2,1,39
AHMED EL AAZZOUZI,527671481,1,1,43
PHOSPHOTECH,433544731,1,1,44
LE GRENIER DE NEPRI,499091296,1,1,44
FOXA TOURN' (LE MOULIN DE ST-CERE),979906096,1,1,46
BIOPRESS,351775523,1,1,47
SARL PERLES DE GASCOGNE,438699548,1,1,47
LA TOURANGELLE,812671113,1,1,49
SOLEIL DE LOIRE,523372407,1,1,49
BIANCO BOSS (LES SAVEURS D'ANNALICE),439085671,1,1,52
SCIC DE LA TUILERIE,978032027,1,1,52
CHAMPLOR SAIPOL,495015281,1,1,55
NATUR'ALRE,828034587,2,1,56
LA KALITHEENNE (LA KALITHEENNE),811464270,1,1,57
NICOLE MASSE,333412765,1,1,58
PRESTOLEUM,852682384,1,1,58
FONDOIR BUCHEZ,447150194,1,1,59
SARL LAMBERVAL ENERGIE VERTE,490258068,1,1,60
HUILERIE D'ARTOIS,911619963,2,1,62
ORIACOOP,492953369,1,1,62
MINOTERIE DE LEFOREST,365200351,1,1,62
XAREME (OVEA FR),879746675,1,1,62
BERNARD BOULEAU,412057101,1,1,63
SAS LUMAN,849665419,1,1,63
ROLAND RANCON,480528280,1,1,63
HUILERIE ERROTA,500442959,1,1,64
CEGALIN (CEGALIN),840713432,1,1,64
SOJALIM,820327658,1,1,65
DEIXONNE MICHEL BIO,793569864,1,1,66
LE MOULIN DE MINERVE,494835275,1,1,66
LIENHART SOJAMEAL,834333635,1,1,67
PLANTES ET PENSEES,813707643,1,1,68
L HUILE D ELENA (L'HUILE D'ELENA),833808249,1,1,68
HUILERIE BEAUJOLAISE,423753987,2,1,69
CHANTAL SARREY (LEBLICQ),519535728,1,1,70
HUILERIE JEAN LEBLANC ET FILS,349649442,1,1,71
JEAN-LUC DELETRE,484491287,1,1,72
GEORGES MORAND,819047960,1,1,73
DON DE LA NATURE (OLYO SAVOIE),917409591,1,1,73
DOMINIQUE BERGER,494207228,1,1,74
MICHEL BERGER,478236409,1,1,74
ANDJI KAELE (HUILESVAK),913204178,1,1,75
PRECY-BERNARD OLEAGINEUX,835550203,1,1,75
BETTER BUTTER FRANCE,853544518,1,1,75
OLVEA OMEGA SOLUTIONS (WINTERISATION EUROPE),413620378,3,1,76
PROLEIN,883622250,1,1,76
E HUBERT,498718428,1,1,78
LA HUILERIE,839508579,1,1,80
GUILLAUME KAUFFMANN (MOULIN A HUILE DU PARTEGAL),507927358,2,1,83
LE MOULIN DE CALLAS,420478422,1,1,83
DELPHINE ASSELINEAU (D'ELFEE),532517562,1,1,83
LOVERA,448811331,1,1,83
LE MOULIN DE LORGUES (LE MOULIN DE LORGUES),450876594,1,1,83
MOULIN DU HAUT JASSON,451979397,1,1,83
SCOP SARL MOULIN DE LA LOUBE,398471748,1,1,83
COOP OLEICOLE DU CANTON D'OLLIOULES,783042351,1,1,83
COOP OLEICOLE LA SOLIDARITE,783067150,1,1,83
COOP OLEICOLE LA TAVERNAISE,783139686,1,1,83
MOULIN GERVASONI,413373481,1,1,83
FANNY HERMELLIN (ENTREPRISE F HERMELLIN MOULIN DU THELON),528151095,1,1,83
COOP. OLEICOLE MOULIN DES CINQ PONTS,783061344,1,1,83
SCA MOULIN DE LA COMBETTE,783069495,1,1,83
COOP OLEICOLE LA SALERNOISE,783122898,1,1,83
LE MOULIN DE LORGUES,341009405,1,1,83
GILLES MONTAL,830092383,1,1,83
EURL MOULIN DAUPHIN,413147364,2,1,84
OLIVIER ROUSTANG (MAS DES PERLIERES),481644664,1,1,84
COOP AGRICOLE OLEICOLE LA COLOMBE,301187373,1,1,84
MOULIN A HUILE JULLIEN,408959468,1,1,84
GENESIS LAB,879915148,1,1,84
BOUDOIRE FRERES,418445821,1,1,84
LE MOULIN DE NICOLAS,839795994,1,1,84
LE PETIT MOULIN,484809587,1,1,84
MOULIN DU DEBAT,820616985,1,1,84
COCI,830375390,2,1,86
SARL L'HUILERIE DES ROCHES,394185102,1,1,86
HUILERIE DE NEUVILLE,980583306,1,1,86
HUILERIE LEPINE,535343941,1,1,86
GILLES PITEAULT,493590889,1,1,86
LES FERMES DU RAVILLON,824882021,1,1,89
HUILES ETERNELLES,891706798,1,1,89
BENOIT COMMON,819311051,1,1,91
MADRINHAS SAS (MADRINHAS),980997787,1,1,91
LUDOVIC JOIRIS (HUILERIE DE L ORME CREUX FERME DE L ORME CREUX),908502867,1,1,91
LES TROIS CONTINENTS (L T C),840997845,1,1,94
HUILERIE AVERNOISE,832806350,1,1,95
LE MOULIN DE SARDELLE,424504983,1,1,2A
MOULIN A HUILE I MEZZANE,921240131,1,1,2A
U FRAGNU DI SARTE,434682845,1,1,2A
VALENTIN SALVATORI,347709388,2,1,2B
MARIE SAVELLI (SUZZONI),302671680,2,1,2B
A SABINA DI BALAGNA,393931647,1,1,2B
SARL MOULIN OLTREMONTI (SARL MOULIN OLTREMONTI),802019638,1,1,2B
LES DELICES DE LA VALLEE DU REGINO,411934169,1,1,2B
RAFFAELA DI PALMA (TUDISCO) (SAVEURS D'OLIVE),498202480,1,1,2B
JUDICKAELLE BOLBEC (LOLLY OIL),841892896,2,1,971
GHOTTA'S DREAM,808099014,1,1,971
EVIDENCE CARIBEENNE (EVIDENCE CARIBEENNE),892908740,1,1,971
CESTHA ARTISANAT ET PRODUCTION S.A.S.U (LES HUILES DE BIBICHE),841008279,1,1,971
SANDRA CHRISTINE (NATI AN NOU),831328976,1,1,971
MAITE LESUEUR (NATURALLY COCO),949609713,1,1,971
AURYS NATURE,897403275,2,1,972
LS TRADE.CORP (LS TRADE.CORP),828573279,2,1,972
JESSY HAMEL (TCHO-TCHO SERVIS),890975683,1,1,973
PAOLA SAR (L'HUILE DE COCO GUYANE),898020961,1,1,973
JEAN SEMPERE (COCO D'ILE),381328962,1,1,974
REGENERE OI (REGENERE OI),878111046,1,1,974
MAYOLIA,980984769,2,1,976
TAKAMATRA ET COMPAGNIE (MAD'YOTTE CREATIONS),902290063,1,1,976
JEAN MARC DUROURE (HUILERIE DUROURE),538177619,1,1,03
BONAVENTURE,813542917,1,1,04
DOMAINE SALVATOR,530124924,1,1,04
SOC COOP AGRICOLE MOULIN DE L'OLIVETTE,782401780,1,1,04
LYANNO,842505026,1,1,04
LE MOULIN DE CASTAGNIERS,383366812,2,1,06
MADE IN OLIVE (MADE IN OLIVE),493986525,1,1,06
COOPERAT OLEICOLE DE GILETTE,782525984,1,1,06
SARL LOU MOULI D'OLI,442940698,2,1,07
BARBALEX,833376882,1,1,07
HUILERIE DE LA RESTANQUE,792111171,1,1,11
JEROME CARRATIE (VETJ FRANCE),431394394,1,1,11
LA BARTAVELLE (SASBA),808138697,1,1,11
HUILERIE MOOG,838982932,1,1,11
LISE PAOLINO (GUEVARA) (LE MOULIN DES AMIS DE LA PICHOLINE),311445597,2,1,13
PROVENCE HUILES,420985988,1,1,13
EURL MOULIN A HUILE DONNIER,500449186,1,1,13
ALIX GUEYDON (LES HUILES D'ALIX),512143306,1,1,13
SOC EXPLOITATION ETS BARLE ET FILS,390167781,1,1,13
COOPERATIVE OLEICOLE DE LA VALLEE DES BAUX DE PROVENCE,782747257,1,1,13
MOULIN A HUILE DE BEDARRIDES HENRI BELLON ET FILS,504815580,1,1,13
MOULIN DE LA CAUVINE,450704747,1,1,13
LE MOULIN A HUILE MARGIER,408761401,1,1,13
AROMA & CO (A&CO),521209007,1,1,13
BASTIDETTES,523690741,1,1,13
MOULIN DE LA VEYSSIERE,851598706,1,1,24
BEATRIX HUNTE (DEBOMY) (HUILERIE HUNTE),823558259,1,1,27
DU DOMAINE DE PIERREDON,508838745,1,1,30
BRUNEL SAS,794612598,1,1,30
LES PEPITES DU MOULIN,900190406,1,1,30
MANUELLE VAGUELSY (LE ROUQUET),818237000,1,1,30
MOULIN DU MAS MIGER,917550253,1,1,30
GROUPE T2G AGRO (GROUPE T2G AGRO),848831699,1,1,34
LES HUILES DE SAINT MALO,978183531,1,1,35
VINCENT ROUX SIBILON,525314449,1,1,38
LOUIS FINET,779639723,1,1,38
SARL DE LA VALLEE (HUILERIE DE GERMIGNEY),825020605,1,1,39
SONIA ORIOTTI (ROSEAM    LES HERBES SACREES),492090337,1,1,40
ZITA SANCHES (LA NEGRINHA),827993056,1,1,40
MOULIN A HUILE PAUL LAURENT,398693051,1,1,42
NICOLAS RAMON (HUILERIE NICOLEA),877955096,1,1,45
MOULIN A HUILE CASTAGNE,801455247,2,1,46
VALE DOURO (VALE DOURO),891972515,2,1,46
ALAIN CORMIER,403371230,1,1,49
ECOPROD,843937657,2,1,56
KAJO LUBRIFIANTS,414099846,1,1,57
HUILERIE DU MOULIN DE L'ILE,754004018,1,1,58
ETS CH DAUDRUY VAN CAUWENBERGHE ET FILS,778114348,1,1,59
SARL QUOTE HUILE,519431993,1,1,60
DULCE DE BRITO (DULCY'S),949282339,1,1,60
NORHUIL,491722807,1,1,61
OLEIS NORMANDIE,949313894,1,1,61
CHRISTIAN DOUPEUX,349612663,1,1,63
SOCIETE COOPERATIVE AGRICOLE NOUSTE EKILILI (SCA NOUSTE EKILILI),519698278,2,1,64
SARL LE MOULIN DU LLEVANT (DOMAINE DU LLEVANT),500512108,1,1,66
DOMAINE DE L'ARBRE BLANC (DOMAINE DE L'ARBRE BLANC),803246818,1,1,66
JEAN GRAFF,316077577,1,1,68
LA GOUTTE D'OR DU PLATEAU (LA GOUTTE D'OR DU PLATEAU),523119709,1,1,71
SOCIETE D'INDUSTRIALISATION DE CHAUTAGNE (SODICHAN),397972787,1,1,73
FREDERIC METAYER,799893607,1,1,73
AGRICOLE INDUSTR COTE AFRIQUE,775754377,1,1,75
OLVEA GREEN TECHNOLOGIES,809193303,1,1,76
LE PRESSOIR DES MAISONS BLANCHES (LE PRESSOIR DES MAISONS BLANCHES),893507152,1,1,79
LE MOULIN DE LA MALISSONNE,478587025,2,1,83
CHRISTIAN NICOLAS (LA BOUTIQUE DE PAPE),402106801,1,1,83
JEAN TAVERNIER,444263990,1,1,83
COOPERATIVE OLEICOLE L'AUPSOISE,783041387,1,1,83
COOP OLEICOLE INTERCOM COEUR DU  VAR,783095326,1,1,83
COOP OLEICOLE LA CAYANNE,783122880,1,1,83
LE MOULIN DU CLOS DES JEANNONS,481526739,2,1,84
L'OLIVIER D'APT,788742823,1,1,84
LOU MOULIN DE SEGUR,824528244,1,1,84
LE MOULIN DU COMTAT,423164995,1,1,84
MOULIN DU GRAND CEDRE (MOULIN BASTIDE DU LAVAL),790012371,1,1,84
NICOLAS NANSOT (SAVEURS BIOHUILES),800935264,1,1,89
LA SEREINE,481538411,1,1,89
FREDERIC FLACHAIRE (CANAPA),888889383,1,1,2A
MURIELLE DIONISI (GIAMMARI) (NUCI'OLIU),848648358,2,1,2B
MARIE JOSEE NORVAL (TAILLEPIERRE),513213108,1,1,971
AROM' LOKAL (AROM' LOKAL),920356128,1,1,971
SOC GUADELOUPEENNE GRAISSES ALIMENTAIRES (SAGGA),304877103,1,1,971
ELAYANE,838515526,1,1,973
SOC PRODUCTION HUILES DE BOURBON (SPHB),328875984,1,1,974
VIRGINIE BERQUEZ,500176672,1,1,17
SOCIETE INDUSTRIELLE DE BONDUES,451443618,1,1,59
GMS ALIMENTAIRE,420946931,1,1,67
GERALDINE BOBIET (GARON) (CACAHUETE ET CHOCOLAT),517898169,1,1,85
LAITERIE ARTISANALE LA COTIERE,510524317,4,1,01
BELLAIT,908630452,2,1,01
LACTINOV BRAINE,423169622,1,1,02
RAFFOLE,980902183,1,1,02
ALAIN HENRY,342909322,1,1,03
LUCIE ROUX (VIAL) (LAIT DELICES DE LUCIE),843525999,1,1,03
LAITERIE CARRIER,386620199,1,1,07
MELODIE GAY (FROMAGERIE DES BLANCHETTES),808514939,1,1,07
UNION LAITIERE DU NORD-EST (ULNE),477814347,1,1,08
J.P.S. LAIT,352303457,1,1,09
MILLAS DU COUSERANS,977535509,1,1,09
SARL  LAUBERT,490190477,1,1,11
SOCIETE LAITIERE DE RODEZ,440236073,1,1,12
LA FERME DU CEOR,983137365,1,1,12
DU MAS DE BABEAU,891519902,1,1,12
SAS LES ELEVEURS DU ROUGIER,838371482,1,1,12
SIUZANNA SOGOMONIAN (STEPANIAN),953917747,1,1,13
ALAIN URBAN (TEURGOULE DE JANVILLE),438835134,1,1,14
ARIUNAA BAYARAA (BAYARS),911108207,1,1,14
L.N.U.F BAYEUX,383311255,1,1,14
PARMALAT FRANCE,317615250,1,1,14
LA FERME DE LA VIEILLE ABBAYE,903879278,1,1,14
LA PETITE LAITERIE DE L'AUBRAC,853475820,2,1,15
ANA & ROBIE,842031999,2,1,17
LAITIERE BIO,891739401,1,1,17
AVI-CHARENTE,305689432,1,1,17
SYNDICAT DES PRODUCTEURS DE FROMAGES FERMIERS DU LIMOUSIN,793202102,1,1,19
LES PETITS PECHES BOURGUIGNONS (LES BURGONDISES),331952341,1,1,21
LAITERIE DES VOISINS,922055090,2,1,22
SICA LAIT'SPRIT D'ETHIQUE,751863721,1,1,22
ARMORICAINE INDUSTRIE,803384726,1,1,22
SAS BERGERIE TANGUY,920714565,1,1,22
LES MONTAGNES D'AUZANCES,451850689,1,1,23
PECHALOU,401739917,1,1,24
SAS LA PINSONNIE,837783646,1,1,24
SOC COOP AGRIC FROMAG FRUIT CHATELEU,778314773,2,1,25
COOPERATIVE LAITIERE,778270504,1,1,25
SOCIETE DE FROMAGERIE,409770104,1,1,25
SARL ROOOH LA VACHE !,901780940,1,1,25
HISTOIRE DE GOUTS (HISTOIRE DE GOUTS),837542000,1,1,25
SOCIETE COOPERATIVE AGRICOLE DE FROMAGERIE LA FRUITIERE HAUT DOUBS JURA (SCAF),778374132,1,1,25
LORENE DUCROS (MADAME FERMENT),915101711,1,1,26
LE CHESNE,949894778,1,1,27
EVEN SANTE INDUSTRIE,403817190,2,1,29
CRAIG GARCIA (FROMAGERIE DE TREVARN),883218562,1,1,29
YEO FRAIS,387819196,1,1,31
LE PETIT BASQUE,399685650,2,1,33
LAITERIE D AZAC,324925726,1,1,33
MOZZA BURDIGALA (LAITERIE BURDIGALA),851095885,1,1,33
SCA DES CHEVRIERS DE L AUDE,420062770,1,1,34
ILLE DELIS,922401526,2,1,35
LAITERIE DE SAINT MALO,895780377,2,1,35
LAITERIE CORALIS,790776702,1,1,35
SOCIETE LAITIERE DE VITRE,399355429,1,1,35
SOCIETE LAITIERE DE L'HERMITAGE,403059843,1,1,35
LAITERIE DE VERNEUIL - COOPERATIVE TOURAINE-BERRY,775594054,2,1,37
BY DALLAIS (BY DALLAIS),825066368,2,1,37
LA CHEVRE RIEUSE,498228485,1,1,37
BERRY-LAIT,784117673,1,1,37
FIERBOIS TRADITION,421725854,1,1,37
JC FREVAL,820239127,1,1,37
LAIT P'TITS LOUPS (LAIT P'TITS LOUPS),829291509,1,1,37
GROUP-ALP (LAITERIE DU MONT AIGUILLE),490533007,1,1,38
GRT PROD LAIT BELLEDONNE,412683997,1,1,38
PLANETE CARP'BOUILLE,814069720,1,1,38
SOCIETE COOPERATIVE AGRICOLE FROMAGERE LE MANON (SCAF),778388504,1,1,39
PLAISIRS FROMAJURA (PLAISIRS FROMAJURA),852500982,1,1,39
LA MAMELLERIE (LA MAMELLERIE),841959661,1,1,39
AUDREY DUCASSE (UN GRAIN DE RIZ),950729764,1,1,40
LAITERIE COLLET,402909592,1,1,42
LAITERIE DU FOREZ,423623628,1,1,42
LE PANIER GOURMAND DU PAYS DE CHARLIEU,488580457,1,1,42
LA YAOURTIERE (LA YAOURTIERE),821894359,1,1,42
SARL FROMAGERIE DU HAUT LIGNON,491433926,1,1,43
LAITERIE SAINT PERE (GSP),316252477,1,1,44
ERIC LE MORVAN,481412690,1,1,44
LES DELICES DU PLONGEON (LES DELICES DU PLONGEON),898017652,1,1,44
MEZERAC,330422015,1,1,44
DE NOUS A VOUS,802551028,1,1,44
FERME DE BELCHAMP,983539339,1,1,44
CANT'AVEY'LOT,537553836,2,1,46
SARL LES FROMAGERES DE NOUGAYROL,410425797,1,1,46
CANTAVEYLOT,811421262,1,1,46
L.N.U.F. MONTAYRAL,492424197,1,1,47
MIMAT'MILK,797438249,1,1,48
SARL LOU PASSOU BIO (SARL 'LOU PASSOU BIO) (LPB),415390574,1,1,48
GABORIT,392372298,1,1,49
LE CREMET D'ANJOU,489395095,1,1,49
TREM'LAIT,532681814,1,1,49
LAIT PTIBIOS D'ANJOU,821781333,1,1,49
MAISON GABORIT,495301210,1,1,49
CREMERIE DE L'AUBANCE,523050185,1,1,49
SNC LA FERME DES PAVILLONS,441507506,1,1,50
SNC FERME DU BOURG GROUX,451000806,1,1,50
COMPAGNIE LAITIERE EUROPEENNE,780876421,1,1,50
MURIS M.E.P.,388889271,1,1,50
LAITERIE DU SILLON,909024077,1,1,50
PIVETTE ET PALORETTE (PIVETTE ET PALORETTE),814358735,1,1,50
MARIE REMILLET (QUAINTRELLE),898165121,1,1,52
FROMAGERIE LAISTELLE,819647918,1,1,52
FERME COLAS (SARL),838219145,1,1,53
L.N.U.F. LAVAL,399319201,1,1,53
SCHREIBER FRANCE,828887927,2,1,55
VALORLAC,529816688,1,1,55
DORIS GARNIER (LA DODUE),899174585,1,1,55
SOCIETE NOUVELLE D'EXPLOITATION DE LA LAITERIE DE KERGUILLET,324431550,2,1,56
CHLOE FRITSCH (LA PETITE FERME DE KERAUDRENIC),890053614,2,1,56
FROMAGERIE DE LA MER,879879708,2,1,56
JDF AND CO (LA LAITERIE DE BELLE ILE),435345715,1,1,56
LE P'TIT FERMIER DE KERVIHAN,827524513,1,1,56
KER RONAN,450810510,1,1,56
LORCO (LORCO),818041824,1,1,56
COLLECTE LAIT SARREBOURG,492485594,1,1,57
FERME DU LOUVION (FERME DU LOUVION),850700691,2,1,59
CANELIA PETIT FAYT LAIT,435155981,1,1,59
COMPAGNIE LAITIERE BIOLOGIQUE,823180484,1,1,59
SOCIETE LAITIERE DE CLERMONT,399390590,1,1,60
NORMANDOISE (NORMANDOISE),827895145,1,1,60
COOPERATIVE LAITIERE REGION DE SONGEONS,302914098,1,1,60
FROMAGERIE DE CAMEMBERT DURAND,402635676,1,1,61
SAS PUR PERCHE,841887409,1,1,61
COOPERATIVE FRUITIERE LAIT PRAIRIES DU BOULONNAIS,803856608,1,1,62
FRUITIERE BIO DU BOULONNAIS (FRUITIERE BIO DU BOULONNAIS) (FBDB),878107630,1,1,62
ENERGYLAIT,982645004,1,1,63
LAITERIE DE LA TOURETTE (T2L),481588994,1,1,63
FERME BATISSE,829816982,1,1,63
ETXALDIA,920129079,2,1,64
BASKALIA,419710744,1,1,64
LES DELICES DE FELICIE,902018910,1,1,64
BASTIDARRA,524286663,1,1,64
T.F.T. SPECIALITES,441655222,4,1,67
LAITERIE DU CLIMONT SAS,445323637,1,1,67
LAITERIE COOPERAT ALSACIENNE ALSACE LAIT,778731174,1,1,67
DELICES EN FAMILLE,830208161,1,1,67
YOGHOUSTRA S A,578501124,1,1,67
SABRINA ZICCARDI (CHEZ SABRINA),832706352,1,1,68
NICOLAS BRUNET (BRUNET EIRL INTERGALACTIQUES),899111751,1,1,69
SARL DE BELLE VUE,920144250,1,1,72
SAVOIE YAOURT,321691404,1,1,73
SOC COOP AGRI LAITIERE DE BELLEVAUX CENT,443862404,1,1,74
LES YAOURTS DU PARQUET,953826336,1,1,74
STE COOPERATIVE AGRICOLE LAITIERE,444020127,1,1,74
LA  LAITERIE D'ANNECY-LE-VIEUX,342245461,1,1,74
LAITERIE BAIKO,828958702,1,1,74
SNC NOVA (MAMIE NOVA            GOURMAND),693002560,1,1,76
LAITERIE BRIN D'HERBE (BRIN D'HERBE),795069087,1,1,76
SARL LES SAVEURS DU LAIT (LES SAVEURS DU LAIT),899315576,1,1,76
LA FROMENTELLERIE,808879407,1,1,77
I-GREC (I-GREC),802576140,1,1,78
LA LAITERIE DE LA FERME DE VILTAIN,322751009,1,1,78
TERRE DE LAIT (TERRE DE LAIT),898768049,1,1,79
BABYDRINK,507449635,1,1,80
MAM'ZELLE POPINETTE (MAM'ZELLE POPINETTE),877850347,1,1,80
LACTINOV ABBEVILLE,382586279,1,1,80
LAIT AGE D'OR,753055789,2,1,81
REVES DE FROMAGES ET CAETERA,751851791,1,1,81
MAISON FROMAGERE DE MOOR,834139834,1,1,81
MAGALI BRU (AZEMA),842066086,1,1,81
SOCIETE LAITIERE MONTAUBAN,399422195,1,1,82
LA MANUFACTURE DU LAIT,831475595,1,1,85
AUPRES DES LAITIERS,913335493,1,1,85
VICTOR FIGHIERA,900200478,2,1,86
LE BRIN DE LAINE,910496355,1,1,86
LAITERIE LES FAYES (LAITERIE LES FAYES),808931422,1,1,87
LES YAOURTS DE SALM,898732631,1,1,88
FROMAGERIE DU PICHET,981782543,1,1,88
RENE BRETTE,848580908,1,1,89
LA FERMIERE DE CHICHERY,827620758,1,1,89
LAITERIE DES BAS VIGNONS (LBV),958200842,1,1,91
YACOR,497642777,1,1,2B
LATTERIA OTTAVI (LATTERIA OTTAVI),917987760,1,1,2B
SOCIETE DE FABRICATION DE GLACES ET DE CREMES GLACEES (SOCREMA),303094395,1,1,971
SOC NOUVELLE DES YAOURTS LITTEE (SNYL),344136247,1,1,972
LUC DELRIC,501754436,1,1,972
SOCIETE MARTINIQUAISE YAOURT CITO (CITO) (SMYC),429809833,1,1,972
FOOLIZ SARL,852552439,1,1,972
SOC LAITIERE DE MACOURIA,443951512,1,1,973
COMPAGNIE LAITIERE DES MASCAREIGNES (CILAM),310864038,3,1,974
CILAM L&J,518419445,3,1,974
CILAM PLF,518346473,2,1,974
SOCIETE REUNIONNAISE LAITIERE (SORELAIT),342572849,2,1,974
REUNION CREATION DISTRIBUTION (TROPI'COW),907493001,1,1,974
LAITERIE DE MAYOTTE (LDM),099378564,1,1,976
UZURI WA DZIA,842077885,1,1,976
JAMEL ABDOU (GOLDEN ICE),895407914,1,1,976
LE VIEUX BOURG,338508427,2,1,22
UCLAB INDUSTRIE,511071136,1,1,29
LAITERIE LE GALL,376380010,1,1,29
LA BARATTE BORDELAISE,848184628,1,1,33
SOCIETE BEURRIERE DE RETIERS,403031867,1,1,35
UNION BEURRIERE DU VAL DE MIEGES,778407726,1,1,39
ETABLISSEMENTS PHILIPPE CHARRIER,322396896,1,1,44
SOCIETE BEURRIERE D'ISIGNY,399366467,1,1,50
CANELIA PETIT FAYT BEURRE,435156096,1,1,59
LEBEAU,409467750,1,1,59
LAITERIE DU PONT MORIN,443586383,1,1,61
FLECHARD LAITERIE DU PONT MORIN,303514004,1,1,61
SOCIETE COOPERATIVE AGRICOLE LAITERIE DE PAMPLIE,781462098,1,1,79
LAITERIE COOPERATIVE D'ETREZ-FOISSIAT,338544646,3,1,01
FROMAGERIE SEIGNEMARTIN,772200036,3,1,01
BRESSOR SA (SERVAFROM),383228764,2,1,01
FRUITIERE DU VALROMEY,842902470,2,1,01
FROMAGERIE PICARD,789950938,2,1,01
FROMAGERIE DE LA COMBE DU VAL,301170650,1,1,01
SOC COOP AGRICOLE FROMAGERIE BRENOD,301171088,1,1,01
SAS BLANDON JEREMY,353981558,1,1,01
SOCIETE D'EXPLOITATION DES ETABLISSEMENTS BILLARD,403513955,1,1,01
PONT D'AIN SERVICES,893669671,1,1,01
FROMAGERIE DE L'ABBAYE (SOCIETE COOPERATIVE DE FROMAGERIE L'ABBAYE),301170098,1,1,01
FROMAGERIE DE DROM,301170148,1,1,01
COOP AGRICOLE FROMAGERIE VILLEREVERSURE,301170197,1,1,01
L'ARTISAN FROMAGER DES DOMBES (AFD),937673820,1,1,01
